WE1_counts	WE2_counts	M1_counts	M2_counts	M3_counts
YCR091W	286	299	544	383	458
YER062C	659	1916	10837	3205	9305
YDR244W	1315	2075	2616	2385	1781
YER189W	18	10	275	335	238
YDL137W	7578	11017	14750	9633	10749
YGR271W	3286	5387	5670	6061	4264
YDR233C	64764	41761	47429	41778	28345
YGR071C	1835	2192	2624	4006	1848
YCR106W	832	5794	33	67	16
YER109C	1169	1550	2235	1951	1580
YDR489W	1190	1700	1528	1456	1306
YPR049C	1175	1535	2010	2312	1631
YDL057W	275	282	313	286	222
YGR257C	1950	3267	3030	2290	2160
YPL235W	7391	7451	10362	11220	7841
YBL087C	45014	60523	53341	46829	43328
YJL132W	280	777	358	684	271
YGL190C	4287	5613	6716	5543	4915
YBR110W	4840	5358	5718	5407	4052
YDR144C	16863	18424	22444	26614	15038
YFL046W	781	926	896	818	587
YOR103C	3558	3808	5620	4424	4564
YKL137W	1031	1344	1670	1348	1236
YDR447C	65511	73352	69225	61372	52577
YGL009C	5438	10174	16378	21272	12390
YPR145W	23483	46221	50387	52589	37863
YJL063C	1580	2832	3008	2473	2393
YDL160C-A	174	230	337	385	316
YPL021W	4	10	2	0	0
YIR010W	1183	1657	1382	1338	897
YDR331W	5213	5743	5835	5517	4367
YJL114W	0	0	0	0	0
YKR044W	3296	4104	2333	2478	1902
YLR433C	2222	2807	2743	2955	2052
YMR068W	391	695	659	626	525
YLR157C-B	0	0	0	0	0
YIL130W	1964	2478	4234	4018	2854
YER032W	2258	2853	3237	3057	2247
YJR070C	21440	29425	19221	19729	15162
YGL005C	1052	1017	977	1945	750
YHR043C	408	552	3464	2986	3145
YDL111C	4386	5134	6171	5803	4817
YMR133W	80	482	1157	617	781
YPL007C	1016	1230	1827	1647	1268
YKL159C	781	1399	1208	1022	817
YDR059C	366	967	778	581	581
YLR138W	13270	16564	9946	12299	6808
YBR101C	3337	6297	4880	4896	3361
YLR396C	2549	3595	4170	4285	2999
YBR245C	6029	7225	9314	9075	6432
YJL216C	258	426	64	42	68
YBR210W	1297	1262	1265	1210	929
YPL103C	1208	1923	2870	2752	1910
YIL103W	4182	4127	4681	5849	3583
YIL152W	334	457	418	301	309
YJR096W	626	1071	1599	1036	984
YGR143W	2111	3985	1973	1632	1467
YGR112W	529	1165	1287	1017	843
YLR256W	6049	7901	7193	5795	5369
YHR174W	1364391	1967009	1901161	2283861	1406919
YOR012W	299	287	475	420	389
YIR001C	859	1017	1249	1053	1023
YDL213C	4565	4575	4359	5107	3503
YDR317W	244	337	636	526	471
YDR478W	905	709	585	653	481
YOL164W-A	0	0	0	0	0
YNL106C	1433	2709	2511	2616	1859
YOR378W	469	853	600	765	387
YFR015C	166	1200	8102	719	5880
YMR230W	40961	49161	43710	39711	36395
YIL092W	975	1086	1311	1524	1057
YAR009C	0	0	0	0	0
YLR321C	2136	2181	2868	2852	2071
YBR004C	4197	4822	4380	4559	3552
YGR052W	54	24	2144	2703	751
YJR161C	851	1839	1888	3002	2772
YOR278W	789	842	1460	1226	1064
YNL085W	10389	11243	16495	16711	11200
YGL061C	619	780	806	1008	586
YPL210C	6829	6087	10292	9701	6581
YOR087W	3662	4319	4167	3824	2868
YGL234W	63955	91667	97052	101384	72599
YOR347C	157	366	1088	442	866
YPR093C	303	412	329	271	328
YAL029C	7734	4454	12532	12802	8811
YOL155C	40047	310860	17163	54986	6176
YDR421W	931	1489	1873	1737	1151
YGL171W	6051	4748	3961	5726	2702
YDR294C	6005	9515	10245	10776	7037
YHR135C	5692	7444	7017	8921	4457
YBR181C	147572	139829	148190	149408	123105
YOR078W	4529	3316	3628	4148	2891
YOR243C	12886	13878	13400	15679	10100
YMR165C	1809	3119	2544	2430	1641
YCR005C	1612	2974	1381	1064	1113
YPR055W	1758	2168	3232	2728	2084
YHR037W	2264	5100	9784	9042	7202
YLR032W	1811	1965	2549	2474	1742
YDR114C	123	256	306	273	224
YLR089C	6631	7043	14398	11509	10655
YBL027W	136961	164010	165113	142370	126020
YOL060C	4575	7452	8265	7950	5330
YIR018C-A	47	19	0	0	0
YBL033C	1028	1887	1749	1153	1269
YNL232W	4815	5467	4688	4960	3750
YDL076C	1332	1629	2180	1579	1567
YDR120C	8742	9281	7425	10888	5503
YJL192C	5627	6214	7909	10049	5062
YLR054C	26	160	4	26	14
YLR009W	10838	8669	9009	10469	6845
YDR063W	1860	2753	3694	2241	2551
YGR238C	1264	892	2003	1399	1226
YER044C	21484	16571	16348	8291	12729
YLR105C	1765	1764	3076	2867	2496
YML091C	3970	10785	11061	7740	7450
YHR191C	1612	2091	1911	2817	1482
YDL098C	359	274	316	264	228
YKR005C	319	675	653	854	450
YMR143W	88744	109168	112535	100237	94044
YCR063W	178	338	212	231	144
YNL189W	13414	13424	22109	22157	16128
YCL047C	690	766	1191	831	996
YGL122C	5101	5423	6600	6493	4603
YDL018C	1568	1890	2217	2008	1699
YOR120W	858	916	904	840	949
YPR160W	289	1643	8119	1368	5145
YBL060W	1077	1243	1281	1177	795
YBR019C	106	287	301	215	165
YKL056C	216417	308422	255010	261519	219217
YKL065W-A	54	3	45	26	37
YPL068C	644	531	476	593	345
YJR057W	2311	2122	2681	2497	2164
YGL211W	2924	3448	4227	4728	3612
YPL195W	4338	4993	6720	6627	4430
YBL063W	1057	1533	1754	1828	1162
YAL059W	6468	2985	5123	6125	3804
YNL007C	2402	6674	5415	5517	3166
YPL148C	568	819	783	810	619
YJR137C	2601	4805	5635	5132	4422
YMR021C	982	1418	1396	1405	1140
YMR074C	4952	5797	5077	4560	4112
YDR378C	3706	5197	4368	3802	3336
YJR039W	1190	1195	1503	1133	993
YNL323W	4996	5507	6632	6613	4206
YFL009W	2526	3245	4764	4137	3262
YLR297W	523	829	454	394	396
YDR216W	491	2790	2179	1563	1494
YIL120W	763	571	385	136	299
YPL162C	1569	1885	2012	2045	1466
YGR095C	3368	3449	3370	5277	2869
YCL027W	94	266	3	9	15
YHR029C	757	563	734	516	507
YIR021W-A	250	290	276	323	201
YAL033W	1325	981	1603	1890	1216
YBR284W	58	189	140	175	81
YNR036C	4021	10242	4280	3289	3306
YNR049C	630	670	696	734	505
YDR192C	1010	1174	2289	2358	1716
YOL112W	1865	2701	1948	1704	1573
YML109W	1665	2223	2308	2282	1737
YOL083W	62	26	132	55	77
YNL251C	6252	8917	10946	11064	6997
YBL004W	20187	25508	23173	31029	16784
YBR164C	3705	4272	4699	4012	3353
YHR074W	6911	10259	13402	13418	10158
YDR464W	5697	5625	5457	5802	4036
YFR030W	2280	3520	3270	2989	2468
YJL146W	928	1359	1915	2222	1414
YKL078W	5965	5364	5481	9426	4292
YIL055C	218	342	238	179	181
YPL053C	9523	10945	10515	10416	6958
YLR351C	4514	7012	6405	5721	4941
YNR014W	222	454	407	128	145
YER125W	14707	22662	20024	20375	15537
YER152C	1873	3021	2381	2686	1689
YLR015W	2168	2388	2544	2900	1837
YHR116W	279	625	513	444	364
YPL259C	2193	2709	3575	3362	2553
YGR093W	2637	2875	3159	5947	2511
YDL037C	65	25	109	20	101
YHL043W	121	110	108	93	53
YPR070W	2035	2235	2609	2441	1960
YOR386W	226	372	373	291	214
YDR397C	2226	2537	2595	2272	1987
YPR198W	6418	11360	5675	5256	3843
YHL038C	2125	3139	3508	3724	2303
YLL053C	219	642	29	23	8
YDR425W	534	777	1230	1088	769
YML076C	1168	1678	2120	2222	1421
YKR060W	2615	2083	2525	3427	1933
YER069W	6188	4940	2865	2596	2066
YMR091C	3486	4561	6264	5612	4820
YER012W	4740	5045	5894	5593	4427
YHR098C	10253	14450	16173	14566	11530
YDL135C	3053	3649	5550	4166	4183
YCR093W	12897	18665	17509	19476	12480
YGR273C	0	0	2	8	0
YPR108W-A	3	2	50	45	43
YBR069C	3364	6563	8415	6065	7188
YMR251W	11	60	89	12	89
YCR104W	46	24	2	2	2
YDR040C	1689	1133	245	215	227
YGR255C	2165	3732	4823	3394	3338
YDL051W	13949	14300	13007	16088	10323
YBL102W	3244	4497	3305	3026	2621
YPL237W	41630	43429	43822	40469	35703
YLR120C	1668	5873	3860	2270	3061
YCL001W-B	83	137	0	0	0
YCL001W-A	123	94	24	10	6
YNL068C	2016	2324	2967	2676	1984
YBL002W	17708	16241	31845	26495	22600
YDR146C	1524	2016	2807	2723	1820
YBR112C	5284	8064	8652	7841	5587
YBL081W	2904	3915	3990	3818	3362
YFL040W	45	46	49	26	38
YNL326C	928	1250	1199	1216	871
YDR337W	1374	1639	2791	2426	1678
YJL061W	3822	4090	5878	5619	4343
YPR147C	2962	3522	2935	2657	2169
YDR441C	2284	5993	3438	3916	2576
YPL094C	11312	12769	11727	9858	8195
YPL023C	4334	5482	6762	7133	5030
YDR231C	582	2529	1711	1120	1110
YJL112W	1617	3360	2829	2608	1760
YFL066C	12	0	36	38	22
YNL193W	1058	1449	1701	1776	1259
YML058W	16015	38180	27790	22456	20137
YBR188C	274	321	705	581	443
YER034W	331	472	163	185	138
YJR076C	3916	4819	7093	6884	5091
YKL157W	8350	9804	17126	14454	12311
YBR003W	2704	5239	7170	5505	4630
YPR129W	3814	4661	5813	5635	3968
YDL113C	499	982	1279	975	803
YMR135C	1037	1653	1475	1030	953
YPL005W	514	754	845	842	581
YBR247C	10642	10082	9851	13376	7276
YLR185W	50024	60223	56397	51045	46033
YJL210W	1055	2419	5227	3550	3630
YAL010C	703	426	1230	1142	900
YIL154C	518	811	1215	864	820
YIL101C	115	147	709	761	584
YKL004W	15141	20877	16962	16797	11783
YPL154C	16025	38474	51596	38233	37340
YPL101W	3649	4486	4251	4446	3129
YLR258W	400	1293	8966	2011	5615
YJR098C	609	1038	1022	1000	679
YHR176W	307	380	216	250	179
YDL211C	334	448	906	731	672
YDL244W	28	56	1	1	2
YDR319C	1887	2229	2031	1818	1536
YKL095W	222	333	407	450	301
YIL094C	16637	14673	4727	5050	3675
