WE1_counts	WE2_counts	M1_counts	M2_counts	M3_counts
YBR248C	7173	6269	6623	7450	5062
YNR067C	13818	16018	9818	14279	6528
YNL152W	1123	1608	1600	1324	1205
YHR153C	172	164	392	426	230
YFL045C	44941	58501	104926	83995	78838
YFL010C	1155	1462	1233	1301	956
YDR141C	4025	6238	7842	7290	5657
YJL131C	840	761	1379	1739	898
YBR117C	396	919	1252	873	792
YDR083W	9011	6433	6209	8541	4751
YDR168W	2787	2768	4547	3988	3030
YIR013C	23	14	2	2	0
YPL071C	475	472	315	276	221
YKL183W	1861	2537	2176	1804	1603
YLR362W	960	1433	1951	1960	1439
YPL024W	931	1815	1150	1280	772
YKL134C	1492	3051	2977	3125	1882
YBR273C	1261	1998	2365	2330	1775
YOR313C	96	178	443	270	242
YAL026C	8167	5108	10286	11339	7075
YFL017W-A	149	178	156	115	108
YGL237C	211	450	486	376	343
YPR094W	413	491	553	492	442
YNL295W	2062	3123	2224	2316	1656
YDR016C	1061	1071	1592	1254	1247
YOL156W	26	28	125	67	143
YOL129W	5451	8242	10344	7462	7816
YDR299W	9109	7335	6555	8281	5248
YBR182C	293	460	202	141	114
YPL040C	1894	3341	3011	3234	1953
YIL091C	7953	6994	7473	9874	5841
YPL104W	2138	3789	5455	5131	3547
YLR253W	3251	5272	5215	5240	4036
YBR215W	1175	1265	1689	1631	1099
YIL106W	1895	2766	2632	2300	1945
YML127W	3304	4431	6913	6372	4978
YLR188W	5223	8159	7774	8557	5608
YMR244C-A	406	505	645	512	582
YGL157W	2261	2578	4319	4145	3954
YJR093C	960	1112	1767	1717	1047
YPR145C-A	21	8	7	6	1
YGR146C	740	2984	1008	1041	787
YNL237W	415	559	956	801	690
YLL066W-B	0	0	0	0	0
YGR077C	1957	2906	3019	3704	2182
YDL073W	3353	4072	5861	6391	4536
YDL004W	4272	8213	12203	8589	8122
YLR059C	1564	2723	2899	2306	2055
YDR507C	5485	6624	6908	6751	4715
YDR379C-A	33	156	368	186	261
YEL007W	3568	7263	8118	6019	6331
YDR512C	982	1757	1319	1066	1073
YPL248C	864	1418	997	917	699
YMR233W	1535	1159	1477	1522	1067
YDR320C-A	781	1225	1045	931	930
YNL080C	3542	4508	4412	3683	2968
YDR022C	378	364	322	250	236
YPL266W	8995	8992	8083	10164	6808
YOR080W	1030	2298	1714	1685	1191
YGL062W	6408	8583	20550	13128	15260
YER169W	2467	2248	3317	3225	2592
YOL016C	970	1965	1917	1215	1291
YOR226C	808	1424	767	831	617
YEL025C	2065	3869	3251	2854	2367
YNL186W	9270	9741	9791	10736	6908
YCL044C	2240	3835	2914	2999	2182
YMR146C	23557	27975	28891	29984	23453
YHR214C-B	0	0	0	0	0
YHR214C-E	8	5	0	0	0
YCR060W	767	1474	7	15	7
YBR016W	1132	2425	702	582	465
YPR116W	26	102	113	89	77
YOR198C	22050	22735	28807	27560	19910
YHR089C	15098	19287	18710	16791	14008
YMR168C	1567	2486	2136	2138	1681
YGR204W	20384	32826	31486	26179	22890
YLL035W	3055	3995	3862	5425	3064
YER007W	985	809	1110	1043	766
YPR056W	1456	1842	2138	1981	1735
YDR117C	1973	2459	3878	3892	2602
YLR037C	77	110	93	69	67
YEL043W	6571	8820	7054	7218	4684
YJL078C	12823	30197	8703	12678	4057
YNL173C	461	837	2894	1643	1767
YGR200C	10587	9556	11742	15064	8677
YIL127C	3935	3228	4104	4334	3408
YLR067C	1682	2262	2648	2952	1880
YER044C-A	68	88	9	14	14
YKL051W	2493	6478	4826	4792	3451
YPL167C	904	2052	897	861	627
YLR223C	9957	8934	8679	8723	7093
YJL178C	5364	7271	8556	11490	6040
YKL164C	14198	33001	23810	25172	19665
YBR200W-A	1	0	0	0	0
YBL098W	6935	6101	4705	3088	3175
YKL113C	3896	3195	4879	4397	3475
YOR118W	4742	4691	4819	5221	3518
YLR205C	114	1265	3032	3459	2212
YMR022W	1678	2084	3280	2879	2902
YFL059W	4	43	120	80	89
YML094W	1738	2309	2426	2097	1849
YKR006C	2530	3689	3634	3312	3245
YPR138C	3650	5545	6611	4099	3761
YIL005W	5816	6509	8449	8929	5008
YNL119W	3761	3150	3971	5250	3047
YHR079C	4769	5634	4445	5370	3218
YNR019W	16294	15253	12931	11402	9034
YGR158C	2043	2331	2526	2836	1921
YKL077W	12648	12981	14147	15126	9915
YFR046C	374	505	514	549	391
YPL050C	14730	14248	14322	14243	9538
YJR141W	1269	1262	1460	1686	1141
YLR354C	15386	28727	38681	23369	27697
YHR022C	0	24	307	82	216
YLR301W	7041	8149	10414	9753	8274
YOR032C	404	660	851	799	563
YAL009W	1244	724	1894	1906	1598
YJR054W	2484	2367	2785	2642	1988
YDL160C	1115	1639	3582	2778	2341
YGR167W	5578	6253	5713	4755	3769
YJL143W	6599	13181	11739	13852	8941
YBR161W	1230	1795	825	771	584
YNL002C	21357	16881	16144	19446	13239
YPL145C	13960	19164	33235	28374	25019
YHL019C	930	1340	1575	1064	1105
YIL118W	2439	2214	3226	2703	2467
YPL190C	8576	11843	8862	9273	6219
YOR267C	4440	4191	6464	4365	4133
YHL036W	1267	2515	3076	2315	1798
YOR367W	825	791	1853	1287	1204
YOR385W	611	701	716	653	605
YGR185C	18743	19817	23663	24147	17665
YJL189W	17974	22203	21022	25426	16179
YLL050C	16213	18274	23432	20193	19100
YDR392W	965	1143	1301	1361	1012
YGL172W	3192	4106	5095	4762	3490
YNL274C	263	1776	1464	706	1448
YOR101W	1567	1866	7125	7548	5254
YHR024C	4963	8756	8149	8117	6149
YOL080C	2946	2895	2598	3919	2079
YOL117W	183	510	715	441	467
YNL054W-A	0	0	0	0	0
YBR283C	45111	51888	52114	45240	33450
YML104C	3221	3394	4660	4984	3146
YNR033W	3349	5806	5989	6307	4254
YNR044W	814	2855	633	520	385
YDR195W	1757	1982	1880	1970	1150
YNL256W	5186	6201	7112	9229	5547
YOL058W	1763	1620	808	600	574
YGR072W	1993	1673	1699	2534	1208
YER106W	16	7	1	10	4
YCR107W	1185	5856	326	318	246
YJL020C	4175	6997	7782	5823	5310
YBR039W	6667	14385	15822	15473	12151
YGR258C	1096	1526	1611	1777	1244
YPL234C	8093	9822	10130	7965	7558
YDL056W	1469	1902	2388	2353	1338
YOR209C	6900	7729	6420	5347	4204
YPR017C	1149	1426	753	1244	1016
YEL044W	1546	2121	1899	1610	1399
YML071C	3342	3178	2961	2764	2122
YLR016C	1518	1886	1808	1708	1370
YER120W	11119	16516	24098	19638	16675
YBR042C	2627	2400	3377	3445	2239
YHR111W	1905	2398	2972	2854	2232
YML129C	645	1316	831	564	660
YPR170W-B	1510	2551	1832	1460	1342
YCR047C	4024	4301	3352	4195	2596
YDR437W	153	288	198	186	136
YBR202W	4952	7064	7540	6301	5387
YKL205W	5829	7423	8926	10040	5935
YER033C	906	1521	1321	1016	974
YHR040W	1988	1486	1310	1903	958
YML057W	1667	3446	6089	4455	4460
YDR178W	1645	6734	5468	2508	3930
YKR038C	3987	5820	4872	5097	3704
YLR432W	26705	32422	33264	31361	26387
YJR004C	982	1703	1728	1638	1417
YIR027C	23	11	25	43	24
YJL115W	2330	1664	1966	3347	1421
YJR073C	935	2319	6851	3488	4767
YGL004C	1161	1284	2277	2689	1616
YMR292W	4587	4484	4699	4448	3687
YMR132C	642	1003	1234	1192	960
YPL008W	1622	1797	2194	1761	1549
YDL116W	4535	4843	7253	7005	5263
YLR435W	4928	3979	3884	5383	3225
YLR409C	16788	17572	15299	22219	12249
YPL088W	4861	7123	3318	2496	2792
YKR065C	3282	5497	6865	5979	5390
YMR041C	687	1266	407	351	333
YLR078C	1535	1966	2395	2206	1776
YMR267W	1961	3089	2378	2139	1555
YDR078C	632	499	1002	1381	813
YMR109W	4408	6296	8558	7720	5498
YDR232W	11654	20110	11534	9362	9149
YDR245W	17653	16679	18482	19401	12979
YGR276C	2648	3177	3933	4007	2743
YDL138W	1562	2385	1309	1268	900
YOR289W	63	113	285	189	233
YPR071W	1199	703	310	323	215
YHR175W	2165	4291	3868	4653	2939
YMR325W	0	2	0	0	0
YDR314C	315	693	520	594	333
YKL098W	1297	1596	1921	1835	1683
YJL133W	2662	4172	4530	6583	3553
YBL084C	1583	2408	2926	2765	2181
YKL018W	2390	3213	4444	3962	3250
YBR111C	2793	3885	6354	4841	4861
YFL047W	1995	2609	3299	3191	2370
YPR144C	8219	7994	8955	11203	6976
YGR100W	2274	3194	4535	6547	3353
YPL026C	866	1769	1834	1786	1165
YIR011C	2165	2345	2661	2318	2112
YGL226C-A	1550	1797	2679	1972	1736
YDR332W	933	1041	1342	1531	1024
YOL154W	394	327	480	482	450
YGL235W	1	10	11	15	1
YBR130C	3004	3197	4453	4266	3154
YNL297C	3536	5877	7530	7038	5370
YOR344C	1603	2120	2159	1170	1925
YBR159W	10617	11294	15175	14478	10719
YDR189W	3964	4196	6127	6371	4357
YAL028W	100	108	306	102	147
YGL160W	3584	5236	6458	6221	4294
YOR079C	2972	4782	3682	3192	2678
YCL030C	13883	24741	7232	4532	4639
YHR132C	9896	11865	12333	18630	8124
YOL049W	6640	8693	11019	10066	7948
YDR014W	486	495	901	815	625
YBR180W	87	56	45	23	20
YIL093C	1336	1833	2301	2018	1671
YLR397C	4566	4952	5960	7741	4578
YPL054W	42	88	12	2	8
YDR194W-A	1	1	0	1	2
YIL151C	3704	5499	6212	6269	4678
YBR213W	365	376	488	595	359
YLR398C	5011	7199	7826	8148	5600
YGR144W	85	141	7	20	6
YGR111W	1220	1705	6463	5112	4457
YGL155W	2763	4033	3215	3287	2393
YJR095W	24	53	45	45	15
YOL063C	1687	3026	3526	3179	2537
YLR466W	25	30	10	5	5
YJL193W	3187	2906	3181	4480	2283
YEL027W	61251	76262	62265	49171	47928
YOL014W	794	3364	1291	1445	994
YDR123C	540	682	860	899	658
YLR057W	4822	5569	3415	4590	2379
YLR320W	1709	2683	2516	2426	1706
YFR014C	1077	2072	2967	1779	1914
YMR231W	1969	2642	4015	3328	2870
YMR247W-A	5	21	0	0	0
YLR452C	910	1010	1433	1199	920
YJR160C	5	119	0	0	0
YOR086C	13475	17022	21201	19933	13506
YDR020C	1263	1226	1509	1881	1151
YGR053C	44	83	63	149	50
YPL213W	436	536	632	654	454
YNL082W	1613	1616	1907	1879	1194
YOR279C	394	512	598	595	511
YPL264C	437	496	157	198	86
YOR224C	10541	11453	11393	11020	8979
YGL060W	1439	2039	2413	2744	1670
YNL188W	795	795	747	723	476
YGR191W	19488	23520	26493	23530	18539
YBL061C	3936	5646	6954	6161	4782
YMR140W	477	990	1555	1262	951
YPR114W	13560	12010	15930	14305	11717
YOR072W-B	0	1	0	0	0
YBR018C	12	7	26	8	12
YPR163C	30265	33631	36377	37582	26949
YEL005C	386	380	686	638	436
YDR035W	7056	9721	6399	5781	4538
YOR242C	513	804	420	568	295
YCR059C	2010	3778	2503	2259	1656
YGL053W	0	0	0	0	0
YCR004C	3580	6995	10380	6779	7098
YDR115W	1226	2186	2819	2356	2408
YMR166C	677	1752	1292	1243	922
YML038C	3994	5210	5139	4768	3846
YPR054W	906	1491	429	560	252
YBR098W	1122	2908	1533	1585	1086
YLR031W	128	245	322	255	230
YDL159W	950	1111	1626	1686	1278
YGL018C	287	581	629	883	492
YMR075W	1161	1134	1406	1170	961
YMR020W	748	914	1224	806	836
YDR379W	1367	1566	2183	1915	1640
YHR169W	5021	3971	4560	9394	3732
YNL059C	4898	5995	5029	4746	3521
YNL022C	4688	4794	4635	5452	3713
YPL161C	1081	1243	2193	2113	1459
YIL121W	780	1173	585	245	439
YLR278C	2838	3580	4315	4130	3489
YOR293W	56773	64179	66582	63110	56141
YGR239C	850	856	639	598	529
YJL041W	4587	5447	6418	6721	4656
YDL097C	7646	9441	12563	11845	9083
YLR104W	1590	1914	2368	2103	1809
YKR004C	510	502	951	683	670
YML096W	4044	3605	4223	4648	3301
YHR192W	1963	1854	2140	3097	1569
YPL052W	1797	1458	1184	1414	933
YIL003W	2192	2023	2476	3142	1806
YBR163W	1603	1814	2476	2407	1872
YDR465C	9190	8132	8029	10762	6113
YKL079W	2225	2875	2780	2461	1963
YFR044C	24492	49501	72986	63160	55942
YLR256W-A	0	0	0	0	0
YFR033C	9176	19176	7244	5978	5283
YJR116W	2979	2676	2672	1950	1946
YGL229C	315	566	768	389	488
YLR356W	405	755	931	546	612
YKL057C	7431	8357	11727	11818	8781
YGL098W	764	1164	1357	1065	987
YJR056C	1121	852	964	1016	774
YNL014W	236	258	402	770	335
YLR404W	1221	1090	2310	1797	1634
YGR161C	286	1469	554	304	303
YPL069C	1507	1475	1743	1908	1455
YGL216W	1774	2160	2968	2751	1895
YFL031W	7267	15676	13351	10061	9419
YJR138W	2344	3333	3267	3095	2516
YKL179C	2292	3094	4195	3661	2898
YJL145W	3670	3593	4186	7039	3055
YBR132C	396	1518	1727	844	1056
YPL192C	737	813	1106	1287	946
YNL004W	4685	5911	5236	4612	4107
YOR265W	1587	1742	2066	1953	1503
YNL067W-B	0	0	0	0	0
YJR079W	275	300	319	212	192
YPR199C	1292	2879	2	0	0
YPL194W	454	515	820	779	599
YCL012C	690	989	813	889	618
YOR365C	345	381	331	290	125
YDR394W	6636	8828	11794	11360	9151
YOR330C	3219	5213	4347	4394	2946
YAR014C	4083	2488	3940	3938	3041
YOR387C	65	135	20	22	12
YOL082W	751	1421	1714	1049	1289
YOR030W	1455	2034	2011	2261	1403
YOR065W	6434	24421	19667	16840	13029
YBR267W	7524	7007	6974	8498	5407
YNL250W	1503	1968	2130	2428	1269
YFL014W	62	211	3557	1675	2971
YOL115W	3584	3633	3892	4035	2841
YDR325W	2434	3602	3606	3855	2724
YNR031C	3484	5836	5645	5272	4143
YNL131W	4964	7139	10121	8561	7646
YEL020W-A	4488	5568	4994	4493	4106
YBL005W	802	1553	3087	2756	2307
YDR041W	1119	1798	2178	1720	1603
YGR070W	456	1096	1140	778	583
YJR108W	28	39	27	30	20
YCR105W	200	974	104	48	78
YBL101C	1373	3419	4456	2861	3256
YPL236C	471	663	1271	1002	925
YPR015C	72	94	8	2	6
YDR488C	465	833	619	513	383
YLR154C	490	1071	845	1006	706
YGR256W	258	449	169	116	103
YEL042W	30821	34359	32733	36867	23199
YPR048W	5120	3680	3326	4476	2348
YLR014C	1651	1779	1737	2540	1538
YER126C	7950	7238	8166	9394	6728
YNL121C	16321	22574	23190	24280	13512
YHR117W	5815	7879	9515	9758	6300
YBR040W	17	9	2	0	6
YPL258C	373	398	496	481	292
YCR045C	936	1757	832	878	585
YKL203C	4530	9285	7897	8173	5461
YHR017W	1280	1789	2205	2049	1349
YDL036C	2463	2351	2904	2612	2014
YCL069W	0	0	66	75	52
YJL113W	0	0	0	0	0
YML059C	7763	15781	14152	13470	9253
YKR045C	343	413	277	289	200
YIL014C-A	0	0	18	17	0
YFL067W	0	0	0	0	0
YER035W	277	1084	663	391	394
YPR128C	3117	4664	6665	5640	4923
YKL156W	23812	33333	28418	27636	24404
YHR148W	2743	2851	2394	5322	2092
YDL110C	618	1657	2527	1382	1959
YMR134W	3161	2452	3162	3139	2214
YMR069W	127	195	126	163	63
YIR025W	532	625	272	249	169
YOR283W	2725	2055	2863	2945	2352
YGL006W	5271	8435	10637	11523	6202
YPL006W	3799	5888	9245	7418	6876
YKR067W	1440	2532	4601	2819	2999
YOR168W	22526	25583	32062	37439	23383
YMR043W	1165	1565	2198	2031	1408
YML077W	1172	1549	1538	1289	1117
YER068W	2594	3060	3593	3838	2595
YER013W	1844	2464	2426	2191	1810
YMR269W	2319	1828	678	958	540
YKL053C-A	884	1521	1533	1111	1237
YMR092C	4928	6692	12418	10544	9832
YJL008C	15863	20947	22014	24361	17494
YGR054W	11934	15018	24224	34732	16771
YPR073C	1875	2106	2599	2308	1913
YDR424C	1367	1738	1777	1594	1520
YDL136W	30915	37455	29103	30005	23707
YCR090C	2728	2936	2675	2593	2049
YHR177W	434	702	319	394	235
YNL278W	1285	2294	2002	1974	1394
YDL245C	15	52	6	12	6
YDR524C-B	33568	49303	90606	52667	46613
YNL107W	561	655	885	920	586
YLR227W-B	2	0	0	0	0
YDL210W	11	11	32	20	17
YDR479C	1743	2703	2182	1951	1426
YKL096W	37676	83071	166055	74866	118411
YBL086C	623	1110	1801	1331	1112
YNL069C	140367	173570	238188	197321	183711
YGL191W	2463	6916	6189	5279	4951
YFL041W	7831	12518	9986	10797	6863
YJL168C	3347	3540	3635	4724	2374
YDR145W	2675	3008	3182	3116	2272
YDR330W	877	1110	1540	1436	1188
YJL062W	6028	8405	10270	9858	7238
YNL325C	492	865	1434	1262	1189
YOR128C	12017	16707	19039	16804	13439
YLR363W-A	2310	1897	1682	2089	1357
YKL100C	7206	11617	14665	11189	9480
YKL130C	1616	1528	2220	2059	1656
YOR346W	867	1209	960	632	619
YAR031W	0	6	0	0	0
YGL233W	2907	3524	5393	4441	3717
YGR113W	828	1066	913	957	716
YLR319C	1831	2401	3038	3468	2118
YBR278W	768	1046	768	634	615
YDR295C	1538	1891	1578	1412	1062
YAL063C-A	0	0	0	0	0
YJR159W	2	14	6	4	8
YHR134W	764	1070	941	1196	765
YER041W	754	918	842	808	461
YBR186W	1004	767	1474	1590	1062
YIL153W	971	1599	1546	1251	959
YBR211C	642	686	1350	1347	1018
YIL102C	5	10	215	171	150
YLR399C	5708	6350	10168	9496	6664
YAL011W	2427	1102	2278	2301	1654
YBR036C	9847	18984	15103	13413	10523
YBR244W	4236	3152	23013	42287	14741
YBR179C	1804	2263	3316	3048	2129
YPL155C	1170	2133	1708	1607	1271
YNL133C	293	284	377	314	263
YGR142W	828	4378	784	971	396
YPL100W	916	1167	2524	2270	1714
YLR257W	5149	6114	16737	9714	13120
YBL026W	2316	2212	2996	2381	2372
YDR121W	2331	1935	1240	1259	929
YNL233W	3476	2946	4552	4049	3232
YPL211W	13062	13384	9947	12061	8616
YDL077C	1743	2609	2483	2274	1646
YOR222W	3529	5271	5575	4421	4105
YEL021W	0	4	0	0	0
YOL061W	15011	22187	27364	26127	21541
YLR008C	3861	4642	5922	5408	4074
YHR210C	320	379	917	824	979
YLR464W	34	0	66	74	48
YJL191W	16968	26135	14505	16799	9438
YMR219W	2066	2721	3156	3218	2002
YLR055C	2162	2591	2597	2503	1890
YJR061W	1844	3473	1759	1579	1184
YFR016C	4791	4888	4888	3833	3363
YHR016C	330	877	1961	1011	1225
YLR450W	8712	8861	13286	10224	9272
YGR109C	1043	1000	1278	1198	918
YIL095W	1881	2148	2325	2126	1598
YOR084W	956	1006	929	795	592
YNL084C	3743	3774	5608	4670	3847
YGR055W	52735	51153	31445	49673	21157
YOR051C	5781	5387	16988	15727	12309
YBR287W	8599	22846	15375	9189	10539
YER174C	3391	3309	9308	5312	7247
YCL048W	24	25	20	10	4
YMR142C	100699	127535	143049	112764	98434
YDR119W-A	12	107	522	16	431
YDL182W	18686	13853	3039	4125	2511
YGL121C	49	129	55	36	65
YOR040W	396	405	718	569	499
YBL067C	4440	4798	5956	6260	4131
YLR168C	1697	3760	3239	2807	2367
YDL019C	7835	9091	11997	9496	7983
YNL300W	2480	3436	4065	4267	2864
YMR273C	1728	2245	1574	1460	1024
YOR123C	4132	4106	4732	4949	3403
YGR295C	0	14	782	676	636
YCR002C	4635	5551	9137	8154	6590
YMR164C	467	732	800	752	551
YLR307C-A	2	1	1	1	2
YDR113C	850	758	1351	976	835
YLL031C	8789	11985	12555	12283	8208
YLR033W	3108	2679	4204	3861	2968
YLR088W	5967	6717	7583	9114	5218
YBR021W	2795	3936	5084	5505	3632
YBR230C	220	965	4859	2215	3754
YMR077C	654	741	854	752	578
YJR036C	333	218	486	565	307
YDL195W	12710	22531	27448	23928	18546
YFL008W	3854	3699	4311	4109	2783
YDR217C	2191	2576	1804	2135	1330
YNL020C	3367	4917	4260	4262	3395
YLR290C	780	618	1444	1000	1042
YPL163C	3750	4831	5348	5011	3499
YIL123W	12186	17079	9406	9888	6857
YOL052C-A	5	18	108	36	80
YMR246W	25400	25113	28773	30563	27025
YPR161C	2311	2590	3205	2997	2172
YOR291W	8116	13091	11170	11001	7469
YKL117W	10950	15619	11760	9050	8781
YMR059W	379	466	719	644	543
YDR062W	32003	30581	33523	32766	23572
YJL043W	23	41	6	8	13
YHR190W	12201	20919	29423	42407	21076
YLR106C	34581	47547	32577	45272	23838
YKR002W	2852	3126	4554	4406	3239
YCR095W-A	12	16	5	5	5
YDR279W	1504	1110	1755	1798	1228
YDL099W	2787	3366	3288	3170	2630
YLR201C	1106	1595	2123	1531	1538
YJL147C	527	769	541	828	410
YDR463W	2356	2257	3297	3497	2245
YIL001W	1157	1443	2121	2010	1709
YPL149W	1719	2274	1841	2147	1783
YBR165W	953	1194	1527	1298	1138
YHR075C	207	508	382	302	253
YMR250W	172	651	4699	940	3091
YFR031C	3018	3418	4012	4045	2911
YEL067C	207	292	132	129	28
YFR012W-A	2	0	0	0	0
YJR110W	1102	1415	1569	1462	1006
YIL149C	7591	7944	10015	10829	6633
YNR015W	3306	4719	4278	5211	3190
YLR350W	3464	5181	4945	4043	3974
YBL103C	878	1242	1769	1528	1185
YGR163W	1661	1971	2375	2168	1795
YKL022C	1603	2298	3278	3202	2372
YKL055C	287	338	279	310	241
YDL164C	3577	3762	5007	4984	3344
YJR050W	1025	1396	1159	860	856
YOR156C	354	743	775	679	475
YNL006W	1238	2994	2465	2531	1949
YGL210W	1505	1695	1757	1742	1301
YLR376C	289	308	463	424	292
YAL058W	2317	1220	2700	2514	1776
YFL033C	2034	3739	4673	4390	3521
YJR136C	780	993	1338	1377	1025
YGL164C	1349	1517	796	748	580
YJL098W	5737	5686	5582	6675	4118
YML108W	1936	2037	2064	2247	1805
YMR310C	3203	2775	3118	4259	2611
YBL038W	1653	2538	3011	2431	2172
YCL010C	905	1793	1449	1403	860
YGR189C	26456	48259	30657	30680	22171
YHL042W	62	65	209	120	134
YOR332W	25377	28804	33301	29425	26183
YKL047W	1647	2138	1514	1556	1096
YOR363C	1141	1480	2050	2014	1412
YOR067C	6725	7820	9480	9136	6866
YGR094W	52109	66536	66318	102218	49221
YNR048W	1364	1734	1593	1637	1148
YDR191W	352	465	473	384	314
YHR028C	4096	5304	8803	6981	5568
YBR265W	4261	5970	7392	6084	5716
YBL007C	7248	11416	9718	7821	5644
YNR037C	640	1472	1181	899	839
YOL113W	889	1418	1748	1353	1067
YCL024W	1301	1678	1772	1752	1218
YOL084W	28	228	320	143	152
YAL032C	860	678	1261	1226	882
YGL145W	2180	2039	3225	3285	2464
YNL283C	7040	13299	10893	10321	7905
YNL252C	2658	3294	3967	3625	2710
YGL248W	302	787	1642	1311	1262
YOR020W-A	521	889	1046	591	739
YDR511W	533	1293	1263	911	912
YKL035W	7440	13876	48089	30879	34489
YBR068C	18253	39634	10196	6457	8245
YDR043C	386	782	755	499	389
YGR076C	739	768	1073	1511	889
YEL015W	5189	5644	7557	6640	5531
YGR254W	9832	36192	106115	27233	101984
YEL040W	52194	42119	74920	81362	57294
YPR013C	895	1015	1377	1472	1095
YPL230W	64	167	851	222	490
YKL087C	1533	2505	2292	1914	1530
YHR115C	2038	2984	3359	3306	2401
YER124C	4620	4552	4360	5455	3539
YER153C	111	215	62	107	47
YPL256C	3607	4740	4203	4449	2886
YKL201C	2746	3671	6173	6853	4187
YOL026C	1475	2783	2141	1872	1620
YDL069C	537	625	652	618	487
YGL167C	16321	21066	19048	18326	13166
YDR236C	1858	2187	3103	2526	2362
YER037W	699	1007	1008	949	735
YCR092C	1711	2051	1664	1683	1127
YJL111W	17267	20952	26184	26985	19936
YIR042C	0	0	501	378	376
YNL192W	6022	11576	7803	8575	5641
YLL010C	1140	1244	945	1045	698
YLR436C	2912	5438	6184	5194	4287
YJR077C	13582	39907	27387	21294	16738
YDL112W	10782	11976	12540	17240	9800
YBR002C	2380	2725	3667	3659	2884
YKL109W	2770	4584	8247	6007	5240
YKL154W	4525	3348	4212	4373	3038
YLR035C-A	0	0	0	0	0
YDL074C	6289	6241	8406	8034	5844
YLR121C	1041	3083	974	853	770
YDL052C	8252	9493	8752	7919	5831
YKR061W	1480	2578	1003	1010	797
YML075C	50047	53646	51368	52392	36501
YML002W	1310	1724	1974	2075	1516
YLR052W	861	907	1381	1554	1095
YER011W	3407	933	336	316	271
YMR090W	357	541	1182	924	1023
YHR099W	9448	20322	16205	15526	10802
YKL132C	237	236	55	69	54
YHR171W	366	744	1114	1114	803
YDR258C	548	2368	3118	1999	2012
YKL094W	2973	5178	8070	6901	6775
YOL030W	20584	43307	31668	28574	22402
YDR318W	1320	1577	1087	1267	993
YER080W	4755	6028	5753	5642	3598
YPL179W	10618	20907	19394	17696	15826
YDL247W	0	0	0	0	0
YMR001C	4954	5765	7378	7073	4958
YFR032C-A	44923	44293	41141	35547	33507
YFR032C-B	68	61	61	107	66
YDR147W	1465	1299	2069	2026	1453
YMR031C	3781	5106	20356	11320	12263
YBL080C	597	987	1129	973	828
YMR136W	556	951	3339	3024	2642
YDL083C	87482	120309	121302	102857	95861
YPL022W	2962	3920	4894	5195	3575
YDR336W	1008	1018	1129	1097	916
YJL060W	2115	2961	5702	4453	4019
YOR100C	2	35	9	7	1
YPL095C	1174	950	1310	1087	954
YNL327W	16596	27919	21646	28661	14137
YPR140W	1683	1896	2689	2097	1510
YGL059W	442	722	744	564	512
YBR279W	3588	3354	3043	2596	2001
YAR033W	0	121	0	0	0
YOR340C	7785	6652	8043	10049	5729
YGR140W	2127	2189	2641	3195	1967
YOL158C	2202	14773	4496	5071	3094
YOR122C	10421	16182	18921	15490	14450
YBR151W	4201	8456	4909	3799	3647
YBR184W	128	208	265	178	138
YGL231C	3312	4602	4777	4501	3791
YHR136C	138	516	24	51	6
YDR018C	115	118	176	120	141
YDR297W	5903	5809	9201	7127	7090
YFL065C	0	0	0	0	0
YBR246W	3415	4322	4832	4808	3863
YLR186W	10389	10578	12329	12479	9684
YIL155C	595	2782	1689	1233	1025
YDR302W	3276	3479	4364	4123	3395
YAL013W	1254	1015	1557	1337	1044
YDR098C	5871	6422	7563	6407	5399
YJR099W	944	1406	1402	1158	1015
YLR259C	25554	67948	61153	53641	45297
YPL157W	2081	1870	1963	2133	1449
YKL005C	2035	2878	2535	2467	1877
YDR418W	102183	130619	158655	125042	113086
YGL166W	553	1085	1231	945	982
YBL024W	13593	14732	20202	20605	14700
YMR241W	21830	18027	15792	14389	11801
YOL067C	312	635	459	470	268
YOR275C	1596	2507	3938	3192	2652
YDL075W	64852	64632	70922	65837	58831
YDR127W	14467	29549	20144	17971	14418
YGR240C-A	137	141	417	323	334
YOL018C	794	1055	994	1071	768
YOR220W	563	1280	1788	1192	1382
YLL048C	36482	47637	34512	45244	23942
YNL264C	1455	2097	3645	3066	2607
YLR053C	258	368	284	331	204
YLR462W	32	0	0	0	0
YPR203W	33	2	0	0	0
YIL075C	20914	26268	30844	31545	20897
YOR134W	72	125	87	79	94
YLR324W	3025	3271	4445	3903	2750
YOL098C	9359	11484	15000	14972	10160
YNR074C	1675	1938	1343	1442	940
YHR014W	68	69	85	130	60
YIL097W	266	392	514	381	373
YOL045W	3424	3706	4232	4007	3156
YFR010W	5316	6787	9200	8261	6126
YHL009C	520	476	662	616	506
YDL007C-A	0	0	0	0	0
YPR101W	835	949	1415	1113	968
YJR151W-A	0	2	0	0	0
YLR304C	25856	63092	66822	51304	42710
YNL048W	4577	5125	6921	6898	4576
YNL086W	277	507	207	234	163
YGL064C	1433	1676	1553	1981	1131
YMR119W	3666	4227	4877	3246	3118
YER176W	5044	5532	4438	4467	3256
YPL279C	1274	126	0	2	0
YDL180W	1995	4765	3589	2825	2425
YGL127C	770	1460	1277	1065	959
YKL220C	1581	1488	537	558	212
YLR166C	2363	2527	4282	4087	2948
YMR271C	377	377	392	359	305
YPL004C	6620	16617	44392	24102	29424
