ID_REF,G3.2_0ISO_1,G3.2_0ISO_2,G3.2_0ISO_3,G3.2_5ISO_1,G3.2_5ISO_2,G3.2_5ISO_3
2146_569,5.3981,5.2423,5.1907,5.3939,5.2403,5.3251
2147_981,5.9048,6.0465,6.0565,6.0602,5.9810,5.9136
2148_1419,5.6978,5.6580,5.6447,5.8479,5.7820,5.7734
2149_151,8.6120,8.9679,8.8284,8.1412,8.0882,8.0393
214_228,6.4278,6.4074,6.3910,6.7392,6.5969,6.6928
2150_772,7.2431,7.3365,7.2644,7.5797,7.4027,7.3845
2151_114,7.1560,7.1222,7.0561,7.2930,7.2130,7.1174
2152_1369,4.5359,4.6908,4.6493,4.9459,4.9807,4.9307
2153_10,8.1278,8.4282,8.4154,8.2673,8.5639,8.5633
2154_869,7.0792,7.3435,7.1945,7.4462,7.4768,7.4762
2155_8,7.6210,7.4891,7.5622,7.9262,7.8274,7.8062
2156_1531,7.0470,6.9725,6.8926,6.9164,6.8254,6.8877
2157_2127,5.2527,5.1499,5.0338,5.2219,5.0834,5.0916
2159_186,8.8358,8.7438,8.6606,8.5201,8.4229,8.3535
215_200,7.3130,7.1414,7.2871,7.2420,7.2964,7.3565
2160_789,6.4565,5.8347,5.8999,5.7897,5.6584,5.6222
2161_383,6.9536,6.6849,6.8029,6.3733,6.4977,6.4831
2162_1312,6.6193,6.3506,6.3994,5.8991,6.1156,6.1361
2163_402,6.5152,5.9995,6.0348,5.7470,5.7691,5.8306
2164_87,7.6141,7.1345,7.3564,6.7526,6.8407,6.6890
2165_221,7.0387,6.5538,6.6020,6.3707,6.2511,6.2152
2166_495,6.8178,6.4812,6.6198,6.2152,6.1361,6.1783
2167_579,5.9154,5.4187,5.6395,5.3410,5.2815,5.3680
2168_445,7.5812,6.6207,6.8618,6.5584,6.4949,6.4316
2169_342,7.5456,6.7537,7.0475,6.1656,6.0782,6.0467
216_687,4.2207,4.1137,3.9152,4.2600,4.0642,4.1711
2170_543,7.4696,6.6741,6.9868,6.0334,6.0316,5.9550
2171_450,6.4984,5.5055,5.8096,4.9446,5.1412,4.9601
2172_2368,7.2514,6.0673,6.4233,5.6968,5.5352,5.5953
2173_160,8.3991,6.3225,6.5715,5.5393,5.6260,5.8429
2174_381,8.1483,5.8790,6.0144,5.2149,5.2192,5.4621
2176_212,6.2268,5.8083,6.1389,5.2694,5.4519,5.3854
2177_1283,8.7340,9.2897,8.9414,7.8708,8.0906,7.9839
2178_1437,7.9835,8.1046,7.8510,7.1529,7.2359,7.2875
2179_204,5.4763,5.4180,5.2796,5.6770,5.4543,5.4483
217_380,6.0519,6.0571,5.9764,5.9206,5.7279,5.7332
2180_932,5.2782,5.3837,5.2796,5.3723,5.4136,5.3825
2181_828,5.3879,5.4122,5.3451,5.6664,5.6768,5.7188
2182_1044,9.1972,8.8681,8.9453,10.0730,10.1776,10.3024
2183_2275,8.8689,8.8886,8.9072,8.8061,8.7686,8.7362
2184_529,7.9717,7.9997,8.0348,8.3815,8.1524,8.2243
2185_2594,6.6973,6.8927,6.7206,6.6830,6.6969,6.6844
2186_1651,4.1409,3.8297,3.7761,4.0937,3.7987,3.7840
2187_859,4.5215,4.3250,4.3555,4.5537,4.5581,4.5570
2188_391,4.5899,4.3233,4.3637,4.6767,4.6122,4.5952
2189_277,4.5760,4.4224,4.5141,4.6804,4.5105,4.5411
218_1405,4.6992,4.9253,4.7439,4.5528,4.5733,4.4467
2190_1278,10.5815,10.6756,10.6837,10.6478,10.6629,10.6785
2191_570,4.5528,4.2972,4.3620,4.4702,4.3631,4.2804
